GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
FALSE,Adult,Prole,Cautious,Older,None,EggShell,None,Economy,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Rural,TRUE,Thousand,Thousand,TRUE,Thousand,Fair,FALSE,Thousand,Zero
FALSE,Adult,Prole,Cautious,Older,Mild,Tank,Moderate,FamilySedan,Poor,FiftyThou,FALSE,SubStandard,FALSE,Thousand,FALSE,TenThou,City,TRUE,TenThou,TenThou,FALSE,Thousand,Excellent,FALSE,Thousand,Many
FALSE,Adult,Prole,Normal,Current,None,EggShell,None,SportsCar,Normal,FiftyThou,TRUE,Normal,FALSE,Thousand,FALSE,TwentyThou,City,FALSE,Thousand,Thousand,FALSE,Thousand,Poor,TRUE,Thousand,One
FALSE,Adult,Middle,Normal,Older,None,Football,None,FamilySedan,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,TenThou,Secure,TRUE,Thousand,Thousand,FALSE,Thousand,Good,TRUE,Thousand,Zero
FALSE,Adult,Prole,Adventurous,Older,Moderate,EggShell,Moderate,Economy,Poor,FiftyThou,FALSE,SubStandard,FALSE,TenThou,FALSE,TenThou,City,FALSE,TenThou,Thousand,FALSE,Thousand,Fair,FALSE,Thousand,Many
FALSE,Adult,Middle,Cautious,Current,Severe,EggShell,Severe,SportsCar,Poor,FiftyThou,TRUE,SubStandard,FALSE,HundredThou,FALSE,TwentyThou,Secure,TRUE,HundredThou,TenThou,TRUE,TenThou,Poor,TRUE,Thousand,Zero
FALSE,Adult,Middle,Normal,Older,None,EggShell,None,FamilySedan,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Suburb,FALSE,Thousand,Thousand,TRUE,Thousand,Poor,FALSE,Thousand,Zero
FALSE,Adult,Prole,Adventurous,Older,None,EggShell,None,Economy,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,TenThou,Suburb,FALSE,Thousand,Thousand,FALSE,Thousand,Poor,FALSE,Thousand,Zero
FALSE,Adult,Prole,Normal,Older,None,Football,None,Economy,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,City,FALSE,Thousand,Thousand,TRUE,Thousand,Good,TRUE,Thousand,Zero
FALSE,Adult,UpperMiddle,Cautious,Current,None,EggShell,None,SportsCar,Poor,TwentyThou,TRUE,SubStandard,FALSE,Thousand,FALSE,TwentyThou,Secure,TRUE,TenThou,Thousand,TRUE,Thousand,Poor,TRUE,Thousand,Many
FALSE,Adult,Middle,Normal,Older,Severe,EggShell,Severe,Economy,Poor,FiftyThou,FALSE,SubStandard,FALSE,TenThou,FALSE,FiveThou,Suburb,TRUE,HundredThou,HundredThou,TRUE,Thousand,Fair,FALSE,Thousand,One
FALSE,Adult,Wealthy,Cautious,Current,None,EggShell,None,SportsCar,Poor,FiftyThou,TRUE,SubStandard,FALSE,Thousand,FALSE,TwentyThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Poor,TRUE,Thousand,Zero
FALSE,Adult,Wealthy,Cautious,Current,None,Tank,None,SuperLuxury,Poor,TwentyThou,TRUE,SubStandard,FALSE,Thousand,FALSE,Million,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Excellent,TRUE,Thousand,Many
FALSE,Senior,UpperMiddle,Normal,Current,None,EggShell,None,SportsCar,Normal,FiveThou,TRUE,Normal,FALSE,Thousand,FALSE,TwentyThou,Secure,TRUE,TenThou,Thousand,TRUE,Thousand,Poor,TRUE,Thousand,Zero
FALSE,Senior,Prole,Cautious,Older,None,Tank,None,FamilySedan,Excellent,TwentyThou,FALSE,Expert,TRUE,Thousand,FALSE,FiveThou,City,TRUE,TenThou,Thousand,FALSE,Thousand,Good,FALSE,Thousand,Zero
FALSE,Senior,UpperMiddle,Cautious,Older,None,Football,None,Luxury,Excellent,FiveThou,TRUE,Expert,TRUE,Thousand,FALSE,TwentyThou,Secure,TRUE,TenThou,Thousand,TRUE,Thousand,Good,FALSE,Thousand,Zero
FALSE,Adult,Middle,Normal,Older,None,EggShell,None,FamilySedan,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Suburb,FALSE,TenThou,Thousand,FALSE,Thousand,Poor,FALSE,Thousand,Zero
FALSE,Adult,UpperMiddle,Adventurous,Older,None,Football,None,FamilySedan,Excellent,FiftyThou,FALSE,Expert,FALSE,Thousand,FALSE,FiveThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Fair,FALSE,Thousand,One
FALSE,Adult,Middle,Normal,Older,None,EggShell,None,SportsCar,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Rural,FALSE,TenThou,Thousand,TRUE,Thousand,Fair,FALSE,Thousand,One
FALSE,Adolescent,Middle,Adventurous,Older,Mild,EggShell,Mild,SportsCar,Poor,TwentyThou,FALSE,SubStandard,FALSE,Thousand,FALSE,FiftyThou,Suburb,FALSE,Thousand,Thousand,TRUE,Thousand,Fair,FALSE,Thousand,Many
FALSE,Adult,Middle,Normal,Older,None,Tank,None,FamilySedan,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,TenThou,Suburb,FALSE,TenThou,Thousand,TRUE,Thousand,Good,FALSE,Thousand,Zero
FALSE,Adolescent,Middle,Normal,Older,None,Tank,None,FamilySedan,Poor,TwentyThou,FALSE,SubStandard,FALSE,Thousand,FALSE,TwentyThou,Rural,FALSE,Thousand,Thousand,FALSE,Thousand,Excellent,FALSE,Thousand,Many
FALSE,Adult,Middle,Cautious,Current,None,Football,None,FamilySedan,Poor,TwentyThou,FALSE,SubStandard,FALSE,Thousand,FALSE,TwentyThou,Secure,TRUE,TenThou,Thousand,TRUE,Thousand,Good,TRUE,Thousand,One
FALSE,Adult,Middle,Normal,Older,None,Tank,None,FamilySedan,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Excellent,FALSE,Thousand,Zero
FALSE,Senior,Middle,Normal,Current,None,EggShell,None,SportsCar,Excellent,TwentyThou,TRUE,Expert,FALSE,Thousand,FALSE,TwentyThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Poor,TRUE,Thousand,Zero
FALSE,Adult,Prole,Adventurous,Current,None,Football,None,Economy,Excellent,Domino,FALSE,Expert,FALSE,Thousand,FALSE,TenThou,City,FALSE,Thousand,Thousand,FALSE,Thousand,Excellent,TRUE,Thousand,Zero
FALSE,Senior,Prole,Cautious,Older,Mild,EggShell,Mild,Economy,Poor,TwentyThou,FALSE,SubStandard,TRUE,Thousand,FALSE,FiveThou,Rural,TRUE,Thousand,Thousand,FALSE,Thousand,Fair,FALSE,Thousand,Many
FALSE,Adult,Middle,Normal,Older,None,Tank,None,FamilySedan,Excellent,FiftyThou,FALSE,Expert,FALSE,Thousand,FALSE,TenThou,Suburb,FALSE,TenThou,Thousand,TRUE,Thousand,Good,FALSE,Thousand,Zero
FALSE,Adult,UpperMiddle,Normal,Current,None,Tank,None,Luxury,Normal,FiftyThou,TRUE,Normal,FALSE,Thousand,FALSE,FiftyThou,Secure,TRUE,TenThou,Thousand,TRUE,Thousand,Excellent,TRUE,Thousand,Many
FALSE,Senior,Prole,Cautious,Older,None,Football,None,Economy,Excellent,FiftyThou,FALSE,Expert,TRUE,Thousand,FALSE,FiveThou,City,TRUE,Thousand,Thousand,TRUE,Thousand,Fair,FALSE,Thousand,Zero
FALSE,Senior,UpperMiddle,Cautious,Current,None,Tank,None,Luxury,Excellent,FiftyThou,TRUE,Normal,TRUE,Thousand,FALSE,FiftyThou,Secure,TRUE,TenThou,Thousand,TRUE,Thousand,Excellent,TRUE,Thousand,Zero
FALSE,Adult,Middle,Normal,Older,None,EggShell,None,Economy,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Suburb,FALSE,TenThou,Thousand,TRUE,Thousand,Poor,FALSE,Thousand,Many
FALSE,Adult,Middle,Normal,Older,None,Football,None,FamilySedan,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Secure,FALSE,Thousand,Thousand,TRUE,Thousand,Good,FALSE,Thousand,Zero
FALSE,Senior,UpperMiddle,Normal,Current,None,Football,None,Luxury,Normal,Domino,TRUE,Normal,FALSE,Thousand,FALSE,FiftyThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Good,TRUE,Thousand,One
FALSE,Adult,Prole,Normal,Older,None,EggShell,None,Economy,Poor,TwentyThou,FALSE,SubStandard,FALSE,Thousand,FALSE,FiveThou,City,FALSE,Thousand,Thousand,FALSE,Thousand,Fair,FALSE,Thousand,Many
FALSE,Adult,Middle,Normal,Older,None,Football,None,FamilySedan,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Secure,FALSE,Thousand,Thousand,FALSE,Thousand,Fair,FALSE,Thousand,Many
FALSE,Adult,Middle,Cautious,Older,Severe,Football,Severe,Economy,Poor,FiftyThou,FALSE,SubStandard,FALSE,TenThou,FALSE,FiveThou,Secure,TRUE,TenThou,TenThou,TRUE,Thousand,Fair,FALSE,Thousand,Zero
FALSE,Adult,Prole,Cautious,Older,None,Tank,None,FamilySedan,Normal,Domino,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,City,TRUE,Thousand,Thousand,FALSE,Thousand,Excellent,FALSE,Thousand,Zero
FALSE,Senior,UpperMiddle,Adventurous,Current,Mild,Tank,Moderate,Luxury,Poor,Domino,TRUE,Normal,FALSE,Thousand,FALSE,FiftyThou,Suburb,FALSE,Thousand,Thousand,TRUE,Thousand,Excellent,TRUE,Thousand,One
FALSE,Adolescent,Middle,Normal,Older,None,EggShell,None,Economy,Normal,TwentyThou,FALSE,Normal,FALSE,Thousand,FALSE,TenThou,Suburb,TRUE,TenThou,Thousand,TRUE,Thousand,Poor,FALSE,Thousand,Zero
FALSE,Adult,Middle,Normal,Older,None,Football,None,FamilySedan,Normal,FiftyThou,FALSE,Normal,FALSE,Thousand,FALSE,FiveThou,Secure,TRUE,Thousand,Thousand,TRUE,Thousand,Fair,FALSE,Thousand,Zero
